simulation,scenario,country,basis,loss_usd
393,super_stress,PORTFOLIO,climate_increment,405404073.361416
394,super_stress,PORTFOLIO,climate_increment,453735965.6952902
395,super_stress,PORTFOLIO,climate_increment,648413920.6751422
396,super_stress,PORTFOLIO,climate_increment,118261228.00919329
397,super_stress,PORTFOLIO,climate_increment,-178781508.0885289
398,super_stress,PORTFOLIO,climate_increment,495990060.60899323
399,super_stress,PORTFOLIO,climate_increment,214864560.5918013
400,super_stress,PORTFOLIO,climate_increment,444439249.3932398
401,super_stress,PORTFOLIO,climate_increment,402392939.7111312
402,super_stress,PORTFOLIO,climate_increment,164274045.91135597
403,super_stress,PORTFOLIO,climate_increment,786242705.6297301
404,super_stress,PORTFOLIO,climate_increment,246032549.84642974
405,super_stress,PORTFOLIO,climate_increment,387301473.8310021
406,super_stress,PORTFOLIO,climate_increment,539255188.2527641
407,super_stress,PORTFOLIO,climate_increment,489435870.302166
408,super_stress,PORTFOLIO,climate_increment,51325581.013405465
409,super_stress,PORTFOLIO,climate_increment,614544592.2467407
410,super_stress,PORTFOLIO,climate_increment,455034117.00598764
411,super_stress,PORTFOLIO,climate_increment,615475492.9158896
412,super_stress,PORTFOLIO,climate_increment,-44502112.49293708
413,super_stress,PORTFOLIO,climate_increment,280988028.00517505
414,super_stress,PORTFOLIO,climate_increment,383615075.2187681
415,super_stress,PORTFOLIO,climate_increment,395301648.8792597
416,super_stress,PORTFOLIO,climate_increment,187528635.4031146
417,super_stress,PORTFOLIO,climate_increment,466807113.1845208
418,super_stress,PORTFOLIO,climate_increment,-249811926.96558395
419,super_stress,PORTFOLIO,climate_increment,760343718.9882302
420,super_stress,PORTFOLIO,climate_increment,285776858.99664605
421,super_stress,PORTFOLIO,climate_increment,396122148.710035
422,super_stress,PORTFOLIO,climate_increment,482104260.22902906
423,super_stress,PORTFOLIO,climate_increment,238019192.75123534
424,super_stress,PORTFOLIO,climate_increment,279692359.23279434
425,super_stress,PORTFOLIO,climate_increment,625782020.0959725
426,super_stress,PORTFOLIO,climate_increment,1040602233.1030006
427,super_stress,PORTFOLIO,climate_increment,314654209.8634439
428,super_stress,PORTFOLIO,climate_increment,393653206.35092443
429,super_stress,PORTFOLIO,climate_increment,397217271.1393854
430,super_stress,PORTFOLIO,climate_increment,502845539.5580878
431,super_stress,PORTFOLIO,climate_increment,333157295.3760699
432,super_stress,PORTFOLIO,climate_increment,669341357.6423129
433,super_stress,PORTFOLIO,climate_increment,907752612.5718657
434,super_stress,PORTFOLIO,climate_increment,656835506.6363447
435,super_stress,PORTFOLIO,climate_increment,463434211.143789
436,super_stress,PORTFOLIO,climate_increment,1045962016.425261
